t,idx,x,y
16.4504,35,36.0838,58.9827
16.4504,36,36.5314,58.7598
16.4504,37,36.9766,58.5321
16.4504,38,37.4184,58.2981
16.4504,39,37.8561,58.0565
16.4504,40,38.2900,57.8080
16.4504,41,38.7193,57.5517
16.4504,42,39.1424,57.2853
16.4504,43,39.5387,57.0223
16.4504,44,39.6976,56.9132
17.4505,0,26.2023,65.0065
17.4505,1,26.5372,64.6353
17.4505,2,26.8874,64.2787
17.4505,3,27.2523,63.9370
17.4505,4,27.6310,63.6107
17.4505,5,28.0230,63.3004
17.4505,6,28.4247,63.0028
17.4505,7,28.8353,62.7177
17.4505,8,29.2546,62.4453
17.4505,9,29.6808,62.1840
17.4505,10,30.1125,61.9318
17.4505,11,30.5491,61.6882
17.4505,12,30.9905,61.4533
17.4505,13,31.4350,61.2244
17.4505,14,31.8822,61.0007
17.4505,15,32.3320,60.7823
17.4505,16,32.7833,60.5672
17.4505,17,33.2358,60.3545
17.4505,18,33.6892,60.1436
17.4505,19,34.1428,59.9333
17.4505,20,34.5962,59.7226
17.4505,21,35.0490,59.5106
17.4505,22,35.5007,59.2961
17.4505,23,35.9510,59.0787
17.4505,24,36.3990,58.8568
17.4505,25,36.8442,58.6292
17.4505,26,37.2863,58.3958
17.4505,27,37.7246,58.1552
17.4505,28,38.1574,57.9048
17.4505,29,38.5850,57.6458
17.4505,30,39.0063,57.3766
17.4505,31,39.4191,57.0945
17.4505,32,39.8231,56.7999
17.4505,33,40.2172,56.4925
17.4505,34,40.5998,56.1707
17.4505,35,40.9671,55.8316
17.4505,36,41.3207,55.4783
17.4505,37,41.6579,55.1093
17.4505,38,41.9764,54.7240
17.4505,39,42.2737,54.3222
17.4505,40,42.5510,53.9064
17.4505,41,42.8003,53.4736
17.4505,42,43.0110,53.0208
17.4505,43,43.1843,52.5528
17.4505,44,43.3432,52.0793
17.4505,45,43.4745,51.5975
17.4505,46,43.5454,51.2759
17.4505,47,43.5882,51.0806
17.4505,48,43.6203,50.8832
17.4505,49,43.6316,50.8135
18.5009,0,32.4785,60.8507
18.5009,1,32.9367,60.6508
18.5009,2,33.3938,60.4481
18.5009,3,33.8493,60.2421
18.5009,4,34.3028,60.0316
18.5009,5,34.7540,59.8162
18.5009,6,35.2029,59.5960
18.5009,7,35.6491,59.3704
18.5009,8,36.0916,59.1376
18.5009,9,36.5308,58.8988
18.5009,10,36.9662,58.6530
18.5009,11,37.3966,58.3986
18.5009,12,37.8223,58.1363
18.5009,13,38.2425,57.8654
18.5009,14,38.6562,57.5846
18.5009,15,39.0628,57.2937
18.5009,16,39.4618,56.9925
18.5009,17,39.8525,56.6804
18.5009,18,40.2325,56.3556
18.5009,19,40.6024,56.0193
18.5009,20,40.9613,55.6713
18.5009,21,41.3065,55.3097
18.5009,22,41.6381,54.9355
18.5009,23,41.9548,54.5488
18.5009,24,42.2558,54.1496
18.5009,25,42.5374,53.7365
18.5009,26,42.8002,53.3114
18.5009,27,43.0433,52.8746
18.5009,28,43.2643,52.4262
18.5009,29,43.4607,51.9665
18.5009,30,43.6328,51.4973
18.5009,31,43.7806,51.0198
18.5009,32,43.9008,50.5346
18.5009,33,43.9932,50.0434
18.5009,34,44.0596,49.5480
18.5009,35,44.1002,49.0498
